"","Region","Year","Gender","Name","Count"
"531","Total Belgium",1995,"Girls","Joline",16
"532","Total Belgium",1995,"Girls","Laure-Anne",16
"533","Total Belgium",1995,"Girls","Lorraine",16
"534","Total Belgium",1995,"Girls","Soumia",16
"535","Total Belgium",1995,"Girls","Veronique",16
"536","Total Belgium",1995,"Girls","Yoni",16
"537","Total Belgium",1995,"Girls","Renée",15
"538","Total Belgium",1995,"Girls","Amelie",15
"539","Total Belgium",1995,"Girls","Fran",15
"540","Total Belgium",1995,"Girls","Gabrielle",15
"541","Total Belgium",1995,"Girls","Saar",15
"542","Total Belgium",1995,"Girls","Serena",15
"543","Total Belgium",1995,"Girls","Lisse",15
"544","Total Belgium",1995,"Girls","Madeleine",15
"545","Total Belgium",1995,"Girls","Josefien",15
"546","Total Belgium",1995,"Girls","Constance",15
"547","Total Belgium",1995,"Girls","Alissa",15
"548","Total Belgium",1995,"Girls","Angie",15
"549","Total Belgium",1995,"Girls","Auriane",15
"550","Total Belgium",1995,"Girls","Seda",15
"551","Total Belgium",1995,"Girls","Lovely",15
"552","Total Belgium",1995,"Girls","Gwendolyn",15
"553","Total Belgium",1995,"Girls","Busra",15
"554","Total Belgium",1995,"Girls","Bérénice",15
"555","Total Belgium",1995,"Girls","Salma",14
"556","Total Belgium",1995,"Girls","Ana",14
"557","Total Belgium",1995,"Girls","Suzanne",14
